listing_id,date
90676,2011-10-11
90676,2011-11-01
90676,2012-03-05
90676,2012-04-01
90676,2012-04-04
90676,2012-04-19
90676,2012-10-07
90676,2012-10-27
90676,2012-12-01
90676,2013-03-04
90676,2013-07-01
90676,2013-07-13
90676,2013-10-14
90676,2013-10-19
90676,2013-10-21
90676,2013-10-28
90676,2013-11-15
90676,2013-11-18
90676,2013-12-17
90676,2014-10-20
90676,2014-10-25
90676,2014-10-27
90676,2014-11-01
90676,2014-11-03
90676,2014-11-08
90676,2014-11-09
90676,2014-11-12
90676,2014-11-16
90676,2014-11-17
90676,2014-12-07
90676,2014-12-08
90676,2014-12-14
90676,2014-12-15
90676,2014-12-23
90676,2015-01-03
90676,2015-01-11
90676,2015-01-15
90676,2015-01-19
90676,2015-01-20
90676,2015-01-26
90676,2015-02-06
90676,2015-02-11
90676,2015-02-13
90676,2015-02-17
90676,2015-02-23
90676,2015-03-01
90676,2015-03-09
90676,2015-03-13
90676,2015-03-15
90676,2015-04-07
90676,2015-04-13
90676,2015-04-27
90676,2015-05-02
90676,2015-05-04
90676,2015-05-10
90676,2015-05-19
90676,2015-06-01
90676,2015-06-26
90676,2015-07-14
90676,2015-07-18
90676,2015-08-12
90676,2015-10-25
90676,2016-01-10
90676,2016-05-08
90676,2016-06-09
90676,2017-02-26
90676,2017-03-03
90676,2017-03-05
90676,2017-03-11
90676,2017-03-16
90676,2017-03-19
90676,2017-03-24
90676,2017-04-01
90676,2017-04-03
90676,2017-04-09
90676,2017-04-16
90676,2017-04-21
90676,2017-04-25
90676,2017-04-28
90676,2017-04-30
90676,2017-05-06
90676,2017-05-08
90676,2017-05-14
90676,2017-05-22
90676,2017-05-29
90676,2017-05-31
90676,2017-06-04
90676,2017-06-11
90676,2017-06-18
90676,2017-06-25
90676,2017-06-26
90676,2017-06-29
90676,2017-07-02
90676,2017-07-08
90676,2017-07-09
90676,2017-07-22
90676,2017-07-23
90676,2017-07-29
90676,2017-07-30
90676,2017-08-06
90676,2017-08-11
90676,2017-08-13
90676,2017-08-20
90676,2017-08-24
90676,2017-08-26
90676,2017-08-30
90676,2017-09-05
90676,2017-09-10
90676,2017-09-14
90676,2017-09-17
90676,2017-09-19
90676,2017-09-25
90676,2017-09-29
90676,2017-10-01
90676,2017-10-03
90676,2017-10-05
90676,2017-10-06
90676,2017-10-13
90676,2017-10-15
90676,2017-10-16
90676,2017-10-17
90676,2017-10-20
90676,2017-10-21
90676,2017-10-25
90676,2017-10-29
90676,2017-10-30
90676,2017-11-01
90676,2017-11-03
90676,2017-11-05
90676,2017-11-09
90676,2017-11-12
90676,2017-11-14
90676,2017-11-17
90676,2017-11-18
90676,2017-11-19
90676,2017-11-25
90676,2017-12-01
90676,2017-12-03
90676,2017-12-08
90676,2017-12-10
90676,2017-12-11
90676,2017-12-16
90676,2017-12-18
90676,2017-12-22
90676,2018-01-04
90676,2018-01-07
90676,2018-01-12
90676,2018-01-14
90676,2018-01-16
90676,2018-01-21
90676,2018-01-23
90676,2018-01-24
90676,2018-01-26
90676,2018-01-27
90676,2018-01-28
90676,2018-02-01
