listing_id,date
36642,2010-07-11
36642,2010-09-07
36642,2010-09-19
36642,2011-05-14
36642,2011-05-16
36642,2011-05-18
36642,2011-06-14
36642,2011-06-20
36642,2011-07-12
36642,2011-07-19
36642,2011-08-01
36642,2011-08-05
36642,2011-08-07
36642,2011-08-11
36642,2011-08-13
36642,2011-08-18
36642,2011-08-20
36642,2011-09-14
36642,2011-09-20
36642,2012-01-06
36642,2012-01-13
36642,2012-04-23
36642,2012-05-21
36642,2012-05-28
36642,2012-06-11
36642,2012-07-03
36642,2012-07-06
36642,2012-07-11
36642,2012-07-16
36642,2012-07-30
36642,2012-08-12
36642,2012-09-05
36642,2012-09-08
36642,2012-09-19
36642,2012-09-23
36642,2012-09-24
36642,2012-09-25
36642,2013-02-17
36642,2013-05-04
36642,2013-05-20
36642,2013-09-02
36642,2013-09-16
36642,2013-09-20
36642,2013-09-21
36642,2013-09-23
36642,2013-11-20
36642,2014-03-03
36642,2014-05-16
36642,2014-06-15
36642,2014-07-05
36642,2014-07-20
36642,2014-08-10
36642,2015-02-26
36642,2015-05-25
36642,2015-06-01
36642,2015-08-30
36642,2015-09-07
36642,2015-09-08
36642,2015-09-29
36642,2015-10-18
36642,2016-05-30
36642,2016-06-19
36642,2016-07-01
36642,2016-08-04
36642,2016-09-04
36642,2017-07-02
36642,2018-02-18
36642,2018-05-27
36642,2018-08-18
36642,2018-08-23
36642,2018-09-03
36642,2018-09-25
36642,2018-09-27
36642,2018-10-08
36642,2018-10-20
36642,2018-10-28
36642,2019-05-08
36642,2019-05-26
36642,2019-05-31
36642,2019-06-02
36642,2019-06-19
36642,2019-07-06
36642,2019-07-14
36642,2019-09-01
36642,2019-09-14
36642,2019-10-07
36642,2020-02-17
59258,2011-07-04
158824,2011-09-22
158824,2012-02-13
158824,2012-02-21
158824,2012-05-28
158824,2012-11-11
158824,2012-11-11
158824,2015-08-30
261065,2011-12-24
261065,2012-02-22
261065,2012-06-01
261065,2012-07-01
261065,2012-07-03
261065,2012-08-04
261065,2012-09-03
261065,2012-09-10
261065,2012-09-17
261065,2012-09-29
261065,2012-10-08
261065,2013-02-04
261065,2013-04-08
261065,2013-05-13
261065,2013-05-27
261065,2013-06-17
261065,2013-07-04
261065,2013-07-28
261065,2013-09-19
261065,2013-10-03
261065,2013-10-06
261065,2013-10-21
261065,2014-06-09
261065,2014-07-16
261065,2014-10-09
261065,2016-03-28
261065,2016-04-23
261065,2016-05-09
261065,2016-07-04
261065,2016-07-17
261065,2016-09-24
261065,2016-10-10
261065,2016-10-24
261065,2016-11-06
261065,2016-11-21
261065,2017-01-08
261065,2017-05-31
261065,2017-06-05
261065,2017-07-03
261065,2017-07-11
261065,2017-07-31
261065,2017-10-21
